sha256,labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
generated_00000014,0,LdrUnloadDll,LoadStringW,NtCreateFile,OpenServiceA,NtOpenKey,SetUnhandledExceptionFilter,NtClose,NtClose,GetSystemTimeAsFileTime,NtQueryValueKey,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000015,0,LdrUnloadDll,RegCloseKey,NtOpenKey,NtTerminateProcess,NtOpenKey,RegOpenKeyExW,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryAttributesFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000016,0,NtQueryValueKey,LdrUnloadDll,NtCreateSection,NtOpenKey,LdrGetProcedureAddress,NtTerminateProcess,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000017,0,LdrUnloadDll,LoadStringW,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000018,0,LdrUnloadDll,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtClose,NtClose,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000019,0,LdrUnloadDll,NtDuplicateObject,RegCloseKey,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtFreeVirtualMemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000020,0,LdrUnloadDll,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtOpenKey,GetSystemTimeAsFileTime,NtTerminateProcess,NtClose,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000021,0,NtQueryValueKey,LdrUnloadDll,RegCloseKey,GetFileSize,NtOpenKey,RegOpenKeyExW,SetUnhandledExceptionFilter,SetErrorMode,NtAllocateVirtualMemory,SetUnhandledExceptionFilter,LdrGetDllHandle,GetSystemTimeAsFileTime,NtClose,LdrLoadDll,WriteConsoleW,NtProtectVirtualMemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000022,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtTerminateProcess,LdrGetDllHandle,NtQueryValueKey,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000023,0,LdrUnloadDll,LoadStringW,NtCreateSection,NtOpenKey,NtTerminateProcess,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000024,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,LdrGetDllHandle,RegCreateKeyExA,NtFreeVirtualMemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000025,0,LdrUnloadDll,NtTerminateProcess,NtCreateSection,SetUnhandledExceptionFilter,NtOpenKey,GetSystemTimeAsFileTime,NtClose,NtQueryValueKey,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000026,0,LdrUnloadDll,SetUnhandledExceptionFilter,NtCreateSection,NtOpenKey,RegOpenKeyExW,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtClose,GetSystemTimeAsFileTime,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000027,0,LdrUnloadDll,LdrUnloadDll,RegCloseKey,OpenServiceW,LdrGetProcedureAddress,NtOpenKey,RegOpenKeyExW,NtCreateFile,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,NtWriteFile,GetSystemTimeAsFileTime,GetFileAttributesW,NtClose,LdrLoadDll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000028,0,LdrUnloadDll,NtDuplicateObject,RegCloseKey,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtClose,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000029,0,LdrUnloadDll,NtDuplicateObject,OpenServiceW,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtCreateFile,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000030,0,NtQueryValueKey,LdrUnloadDll,CoUninitialize,GetSystemTimeAsFileTime,NtOpenKey,LdrGetProcedureAddress,NtCreateFile,SetErrorMode,NtAllocateVirtualMemory,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,LdrLoadDll,GetSystemTimeAsFileTime,NtQueryAttributesFile,GetSystemTimeAsFileTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000031,0,LdrUnloadDll,NtDuplicateObject,RegOpenKeyExW,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtAllocateVirtualMemory,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000032,0,LdrUnloadDll,DeleteFileW,RegOpenKeyExW,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000033,0,LdrUnloadDll,LoadStringW,NtOpenKey,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000034,0,LdrUnloadDll,LdrUnloadDll,NtAllocateVirtualMemory,NtClose,NtTerminateProcess,NtTerminateProcess,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000035,0,LdrUnloadDll,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtClose,NtWriteFile,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000036,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,NtTerminateProcess,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000037,0,NtQueryValueKey,LdrUnloadDll,SetUnhandledExceptionFilter,NtTerminateProcess,NtOpenKey,NtClose,NtAllocateVirtualMemory,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000038,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000039,0,NtQueryValueKey,LdrUnloadDll,NtCreateSection,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtAllocateVirtualMemory,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,NtTerminateProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000040,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,NtTerminateProcess,NtClose,GetFileType,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000041,0,LdrUnloadDll,OpenServiceW,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000042,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000043,0,NtQueryValueKey,LdrUnloadDll,NtQueryKey,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000044,0,LdrUnloadDll,NtDuplicateObject,NtOpenKey,LoadStringA,NtOpenKey,SetUnhandledExceptionFilter,GetFileType,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000045,0,LdrUnloadDll,LdrUnloadDll,NtOpenKey,NtTerminateProcess,SetUnhandledExceptionFilter,NtOpenKey,NtClose,NtQueryValueKey,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000046,0,LdrUnloadDll,CoInitializeEx,GetForegroundWindow,NtTerminateProcess,NtOpenKey,NtClose,NtCreateFile,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtAllocateVirtualMemory,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000047,0,LdrUnloadDll,LdrGetProcedureAddress,NtOpenKey,SetUnhandledExceptionFilter,NtClose,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000048,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,GetSystemInfo,LdrGetProcedureAddress,NtOpenKey,NtCreateFile,SetErrorMode,SetUnhandledExceptionFilter,NtOpenKeyEx,GetSystemTimeAsFileTime,RegSetValueExW,NtAllocateVirtualMemory,LdrLoadDll,NtClose,NtDeviceIoControlFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000049,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000050,0,LdrUnloadDll,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtOpenKey,NtCreateFile,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,GetSystemDirectoryA,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000051,0,LdrUnloadDll,NtDuplicateObject,LdrGetProcedureAddress,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtFreeVirtualMemory,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000052,0,LdrUnloadDll,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000053,0,LdrUnloadDll,LoadStringW,SetUnhandledExceptionFilter,GetFileType,NtTerminateProcess,GetSystemTimeAsFileTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000054,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,NtClose,NtTerminateProcess,LdrGetDllHandle,GetSystemTimeAsFileTime,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000055,0,LdrUnloadDll,LdrUnloadDll,CoUninitialize,NtOpenKey,OpenServiceW,SetUnhandledExceptionFilter,NtClose,NtAllocateVirtualMemory,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000056,0,LdrUnloadDll,GetSystemInfo,NtCreateSection,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtCreateFile,RegOpenKeyExW,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000057,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,OpenServiceW,NtOpenKey,RegOpenKeyExW,SetUnhandledExceptionFilter,SetErrorMode,RegEnumKeyExW,NtClose,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,NtTerminateProcess,RegQueryValueExW,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000058,0,LdrUnloadDll,NtOpenKey,NtOpenKey,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,LdrGetProcedureAddress,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,RegQueryValueExW,NtQueryValueKey,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000059,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000060,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,LdrGetProcedureAddress,NtClose,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtTerminateProcess,RegQueryValueExW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000061,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000062,0,NtQueryValueKey,LdrUnloadDll,NtCreateSection,OpenServiceW,NtOpenKey,NtTerminateProcess,NtClose,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtAllocateVirtualMemory,LdrGetDllHandle,LdrGetDllHandle,NtQueryAttributesFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000063,0,LdrUnloadDll,CoUninitialize,LoadStringW,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,LdrLoadDll,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000064,0,LdrUnloadDll,NtOpenKey,NtTerminateProcess,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000065,0,LdrUnloadDll,NtQuerySystemInformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000066,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,CreateProcessInternalW,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtTerminateProcess,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000067,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000068,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,NtTerminateProcess,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000069,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,NtTerminateProcess,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000070,0,LdrUnloadDll,OpenServiceW,NtOpenKey,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000071,0,NtQueryValueKey,LdrUnloadDll,CoUninitialize,NtOpenKey,LdrGetProcedureAddress,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,OpenServiceW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000072,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,LdrGetProcedureAddress,NtOpenKey,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000073,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000074,0,LdrUnloadDll,LoadStringW,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtOpenKey,RegOpenKeyExW,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000075,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtClose,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000076,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,NtQueryValueKey,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000077,0,LdrUnloadDll,OpenServiceW,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000078,0,LdrUnloadDll,LoadStringW,NtCreateSection,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000079,0,LdrUnloadDll,LdrUnloadDll,LoadStringW,NtOpenKey,LdrGetProcedureAddress,NtCreateFile,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,LdrGetDllHandle,NtClose,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000080,0,LdrUnloadDll,LdrGetDllHandle,SetUnhandledExceptionFilter,NtAllocateVirtualMemory,NtOpenKey,NtTerminateProcess,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000081,0,LdrUnloadDll,NtDuplicateObject,NtQueryKey,OpenServiceW,NtOpenKey,SetUnhandledExceptionFilter,RegOpenKeyExW,GetSystemTimeAsFileTime,NtClose,NtTerminateProcess,NtTerminateProcess,LdrLoadDll,LdrGetDllHandle,LdrLoadDll,NtQueryValueKey,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000082,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000083,0,LdrUnloadDll,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtOpenKey,NtClose,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000084,0,NtQueryValueKey,LdrUnloadDll,NtCreateSection,LdrGetProcedureAddress,FindResourceW,NtOpenKey,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,RegQueryValueExW,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000085,0,NtQueryValueKey,LdrUnloadDll,NtCreateSection,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
